domainid	n	non_zero_counts	min_count	max_count	mean	stddev	kurtosis	skew	ks_test_statistic	ks_test_pvalue	norm_log_statistic	norm_log_pvalue	norm_sqrt_statistic	norm_sqrt_pvalue	norm_cbrt_statistic	norm_cbrt_pvalue	norm_yeojohnson_statistic	norm_yeojohnson_pvalue	yeojohnson_lmbda
PF00014	7059	51	0	3	0.007508	0.091114	261.557905	14.173146	0.525610	0.000100	0.526453	0.000100	0.526595	0.000100	0.526701	0.000100	0.526764	0.000100	-81.777351
PF00015	7059	4272	0	85	9.155263	12.296658	1.920684	1.485660	0.228293	0.000100	0.246167	0.000100	0.231927	0.000100	0.256536	0.000100	0.254585	0.000100	-0.164352
PF00016	7059	1484	0	5	0.296359	0.671608	9.291290	2.828933	0.460251	0.000100	0.476890	0.000100	0.480708	0.000100	0.484264	0.000100	0.486795	0.000100	-5.232764
PF00017	7059	19	0	2	0.002833	0.055754	491.140308	21.098987	0.517571	0.000100	0.517858	0.000100	0.517938	0.000100	0.517989	0.000100	0.518023	0.000100	-90.526417
PF00018	7059	23	0	1	0.003258	0.056988	301.916312	17.433196	0.519537	0.000100	0.519537	0.000100	0.519537	0.000100	0.519537	0.000100	0.519537	0.000100	-110.420068
PF00019	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00020	7059	5	0	6	0.001558	0.078033	5015.928384	67.619171	0.507257	0.000100	0.508884	0.000100	0.509120	0.000100	0.509567	0.000100	0.509911	0.000100	-70.098219
PF00021	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00022	7059	23	0	3	0.003967	0.075172	648.688063	23.186396	0.517781	0.000100	0.518893	0.000100	0.519175	0.000100	0.519389	0.000100	0.519537	0.000100	-81.777351
PF00023	7059	1210	0	12	0.229494	0.614577	52.391630	5.096452	0.474159	0.000100	0.495485	0.000100	0.498521	0.000100	0.501828	0.000100	0.503960	0.000100	-6.967389
PF00024	7059	334	0	3	0.049440	0.227624	27.233257	4.899550	0.538653	0.000100	0.540144	0.000100	0.540483	0.000100	0.540710	0.000100	0.540855	0.000100	-29.739940
PF00025	7059	340	0	3	0.068140	0.339626	40.432731	6.011331	0.531336	0.000100	0.537019	0.000100	0.538539	0.000100	0.539851	0.000100	0.540819	0.000100	-24.519452
PF00026	7059	58	0	2	0.008358	0.092583	133.611755	11.331636	0.527748	0.000100	0.527939	0.000100	0.527990	0.000100	0.528022	0.000100	0.528042	0.000100	-90.526418
PF00027	7059	6867	0	51	6.368466	5.186323	6.066165	1.919164	0.141577	0.000100	0.086781	0.000100	0.063258	0.000100	0.081296	0.000100	0.068319	0.000100	0.134151
PF00028	7059	475	0	13	0.120697	0.605631	115.687429	8.994485	0.511687	0.000100	0.530415	0.000100	0.532442	0.000100	0.536090	0.000100	0.538583	0.000100	-15.881832
PF00029	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00030	7059	194	0	6	0.035699	0.241297	127.621254	9.535390	0.531321	0.000100	0.536665	0.000100	0.537693	0.000100	0.538634	0.000100	0.539262	0.000100	-45.398953
PF00031	7059	90	0	2	0.013033	0.115887	87.071690	9.127609	0.532019	0.000100	0.532322	0.000100	0.532403	0.000100	0.532453	0.000100	0.532486	0.000100	-90.526417
PF00032	7059	3537	0	4	0.513387	0.526058	-0.805130	0.282347	0.334367	0.000100	0.338720	0.000100	0.339713	0.000100	0.340364	0.000100	0.339189	0.000100	-0.224094
PF00033	7059	3432	0	4	0.512821	0.555923	0.037498	0.580231	0.335652	0.000100	0.344200	0.000100	0.346217	0.000100	0.347576	0.000100	0.346230	0.000100	-0.565921
PF00034	7059	5027	0	43	3.665958	4.537051	5.944784	1.986624	0.209560	0.000100	0.175681	0.000100	0.173476	0.000100	0.202419	0.000100	0.185412	0.000100	-0.159197
PF00035	7059	6875	0	3	0.989234	0.212641	30.852521	0.269895	0.494123	0.000100	0.513024	0.000100	0.520751	0.000100	0.528044	0.000100	0.490020	0.000100	1.189906
PF00036	7059	194	0	3	0.031308	0.195603	55.174496	6.992733	0.536095	0.000100	0.538051	0.000100	0.538615	0.000100	0.538997	0.000100	0.539262	0.000100	-48.582136
PF00037	7059	5720	0	39	2.476838	3.063963	21.216811	3.684994	0.237996	0.000100	0.133866	0.000100	0.172248	0.000100	0.247608	0.000100	0.148683	0.000100	-0.171380
PF00038	7059	3	0	6	0.001133	0.073362	6340.475425	78.171909	0.505737	0.000100	0.506837	0.000100	0.507045	0.000100	0.507447	0.000100	0.507800	0.000100	-70.098219
PF00039	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00040	7059	6	0	1	0.000850	0.029142	1171.500851	34.256399	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	-110.420068
PF00041	7059	2311	0	27	1.077915	2.374940	17.191062	3.553672	0.347644	0.000100	0.400714	0.000100	0.402941	0.000100	0.417469	0.000100	0.427087	0.000100	-1.787600
PF00042	7059	3425	0	6	0.682816	0.863287	2.120924	1.403953	0.300301	0.000100	0.330000	0.000100	0.337370	0.000100	0.344070	0.000100	0.342192	0.000100	-0.939418
PF00043	7059	3175	0	27	2.125089	3.077194	3.199299	1.654323	0.305294	0.000100	0.346708	0.000100	0.346604	0.000100	0.357185	0.000100	0.358845	0.000100	-0.695514
PF00044	7059	6968	0	6	1.860320	1.100443	0.030967	0.971341	0.293795	0.000100	0.301594	0.000100	0.289237	0.000100	0.267938	0.000100	0.298237	0.000100	-0.433150
PF00045	7059	133	0	4	0.025358	0.201447	110.995577	9.688519	0.531241	0.000100	0.534317	0.000100	0.535120	0.000100	0.535782	0.000100	0.536262	0.000100	-64.339202
PF00046	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00047	7059	2	0	2	0.000425	0.026611	4795.248263	67.611030	0.506087	0.000100	0.506266	0.000100	0.506335	0.000100	0.506388	0.000100	0.506432	0.000100	-90.526417
PF00048	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00049	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00050	7059	260	0	4	0.041649	0.227004	54.931008	6.564310	0.535949	0.000100	0.539102	0.000100	0.539814	0.000100	0.540338	0.000100	0.540682	0.000100	-36.531058
PF00051	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00052	7059	28	0	2	0.004392	0.072265	371.747638	18.211052	0.520261	0.000100	0.520833	0.000100	0.521003	0.000100	0.521114	0.000100	0.521191	0.000100	-90.526417
PF00053	7059	2	0	1	0.000283	0.016830	3524.500283	59.384344	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	-110.420068
PF00054	7059	6	0	1	0.000850	0.029142	1171.500851	34.256399	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	-110.420068
PF00055	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00056	7059	6255	0	5	1.257260	0.840842	1.788991	1.189090	0.369145	0.000100	0.324968	0.000100	0.362102	0.000100	0.414922	0.000100	0.318231	0.000100	0.115035
PF00057	7059	11	0	4	0.002692	0.079797	1532.797283	36.979239	0.511895	0.000100	0.513238	0.000100	0.513566	0.000100	0.513920	0.000100	0.514197	0.000100	-76.500231
PF00058	7059	13	0	2	0.002125	0.051837	836.158402	27.336838	0.514506	0.000100	0.514975	0.000100	0.515121	0.000100	0.515219	0.000100	0.515288	0.000100	-90.526417
PF00059	7059	177	0	7	0.033574	0.256117	258.310650	13.239311	0.527069	0.000100	0.535417	0.000100	0.536525	0.000100	0.537823	0.000100	0.538627	0.000100	-49.559437
PF00060	7059	423	0	2	0.061765	0.248261	15.694010	3.997004	0.538309	0.000100	0.539226	0.000100	0.539475	0.000100	0.539630	0.000100	0.539732	0.000100	-23.650408
PF00061	7059	2	0	2	0.000567	0.033660	3524.500283	59.384344	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	-90.526417
PF00062	7059	3	0	2	0.000708	0.035700	2870.955126	52.871841	0.507489	0.000100	0.507643	0.000100	0.507705	0.000100	0.507755	0.000100	0.507800	0.000100	-90.526417
PF00063	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00066	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00067	7059	4070	0	86	4.940643	10.467051	10.722070	3.157365	0.318469	0.000100	0.228992	0.000100	0.215291	0.000100	0.253755	0.000100	0.271756	0.000100	-0.577829
PF00068	7059	23	0	1	0.003258	0.056988	301.916312	17.433196	0.519537	0.000100	0.519537	0.000100	0.519537	0.000100	0.519537	0.000100	0.519537	0.000100	-110.420068
PF00069	7059	5818	0	330	8.135005	18.683723	59.161907	6.139909	0.331645	0.000100	0.137436	0.000100	0.211551	0.000100	0.160318	0.000100	0.114697	0.000100	-0.337374
PF00070	7059	129	0	2	0.019266	0.144493	68.696771	7.956242	0.534758	0.000100	0.535536	0.000100	0.535753	0.000100	0.535891	0.000100	0.535983	0.000100	-76.516807
PF00071	7059	305	0	6	0.055249	0.315455	136.850165	9.704229	0.526303	0.000100	0.536853	0.000100	0.538328	0.000100	0.539945	0.000100	0.540930	0.000100	-29.557915
PF00072	7059	7057	0	233	52.647117	36.719988	1.981613	1.298695	0.106945	0.000100	0.040815	0.000100	0.052063	0.000100	0.034922	0.000100	0.030277	0.000100	0.211584
PF00074	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00075	7059	5714	0	5	0.903952	0.557614	4.330648	0.708143	0.377837	0.000100	0.428170	0.000100	0.447856	0.000100	0.466950	0.000100	0.396080	0.000100	0.674425
PF00076	7059	1445	0	17	0.446381	1.165717	24.977066	4.175381	0.444398	0.000100	0.474581	0.000100	0.477691	0.000100	0.484306	0.000100	0.489258	0.000100	-4.215036
PF00077	7059	11	0	2	0.001700	0.044502	931.720522	28.818910	0.513676	0.000100	0.514000	0.000100	0.514094	0.000100	0.514155	0.000100	0.514197	0.000100	-90.526417
PF00078	7059	3269	0	47	0.993059	1.884265	83.186520	6.228964	0.299100	0.000100	0.324887	0.000100	0.330193	0.000100	0.347868	0.000100	0.351870	0.000100	-1.098481
PF00079	7059	943	0	7	0.161921	0.466155	26.122173	4.089117	0.502240	0.000100	0.513944	0.000100	0.516062	0.000100	0.517921	0.000100	0.519118	0.000100	-9.647521
PF00080	7059	2634	0	4	0.418615	0.587685	1.519934	1.247533	0.388708	0.000100	0.400265	0.000100	0.403191	0.000100	0.405257	0.000100	0.406136	0.000100	-2.181254
PF00081	7059	6067	0	4	1.128488	0.677953	1.073440	0.540736	0.336168	0.000100	0.350207	0.000100	0.388736	0.000100	0.433014	0.000100	0.310884	0.000100	0.575625
PF00082	7059	5572	0	52	4.284318	5.907685	10.924137	2.872649	0.234177	0.000100	0.124624	0.000100	0.113305	0.000100	0.164710	0.000100	0.138675	0.000100	-0.169084
PF00083	7059	5158	0	50	3.291118	4.892306	20.455709	3.721387	0.250580	0.000100	0.157447	0.000100	0.151926	0.000100	0.188812	0.000100	0.175969	0.000100	-0.258754
PF00084	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00085	7059	7028	0	18	3.738773	1.640622	0.953035	0.621770	0.163188	0.000100	0.136181	0.000100	0.124023	0.000100	0.128743	0.000100	0.132136	0.000100	0.391763
PF00086	7059	2	0	1	0.000283	0.016830	3524.500283	59.384344	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	0.506432	0.000100	-110.420068
PF00087	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00088	7059	3	0	2	0.000708	0.035700	2870.955126	52.871841	0.507489	0.000100	0.507643	0.000100	0.507705	0.000100	0.507755	0.000100	0.507800	0.000100	-90.526417
PF00089	7059	2427	0	39	1.233178	3.127009	24.597599	4.408141	0.346690	0.000100	0.382120	0.000100	0.382112	0.000100	0.403614	0.000100	0.417714	0.000100	-1.661461
PF00090	7059	25	0	1	0.003542	0.059406	277.363554	16.714172	0.520226	0.000100	0.520226	0.000100	0.520226	0.000100	0.520226	0.000100	0.520226	0.000100	-110.420068
PF00091	7059	6869	0	4	1.019833	0.293294	23.181738	2.334802	0.485589	0.000100	0.474172	0.000100	0.490150	0.000100	0.507982	0.000100	0.471961	0.000100	0.494693
PF00092	7059	5001	0	23	1.789489	2.026709	12.646804	2.514487	0.204180	0.000100	0.189043	0.000100	0.196312	0.000100	0.260075	0.000100	0.197151	0.000100	-0.173954
PF00093	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00094	7059	149	0	5	0.026491	0.202704	151.065167	10.542291	0.530878	0.000100	0.535184	0.000100	0.536029	0.000100	0.536771	0.000100	0.537260	0.000100	-60.285921
PF00095	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00096	7059	18	0	5	0.004250	0.105032	1534.733956	35.823895	0.513587	0.000100	0.516222	0.000100	0.516648	0.000100	0.517214	0.000100	0.517611	0.000100	-72.842383
PF00097	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00098	7059	7	0	1	0.000992	0.031475	1003.429564	31.708509	0.511574	0.000100	0.511574	0.000100	0.511574	0.000100	0.511574	0.000100	0.511574	0.000100	-110.420068
PF00100	7059	2	0	11	0.001983	0.135692	6144.393248	76.956993	0.505547	0.000100	0.506177	0.000100	0.506124	0.000100	0.506284	0.000100	0.506432	0.000100	-62.276073
PF00101	7059	744	0	5	0.142655	0.473306	20.707831	4.173562	0.513040	0.000100	0.522982	0.000100	0.525346	0.000100	0.527419	0.000100	0.528885	0.000100	-11.515669
PF00102	7059	472	0	4	0.068282	0.259427	18.462169	3.930467	0.536930	0.000100	0.538194	0.000100	0.538409	0.000100	0.538564	0.000100	0.538658	0.000100	-21.331321
PF00103	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00104	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00105	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00106	7059	6944	0	107	15.262218	13.970248	4.827225	2.032593	0.175734	0.000100	0.070054	0.000100	0.100432	0.000100	0.068217	0.000100	0.055496	0.000100	0.119090
PF00107	7059	6869	0	66	10.647825	8.755081	3.912798	1.705550	0.156491	0.000100	0.071976	0.000100	0.075710	0.000100	0.083453	0.000100	0.052831	0.000100	0.201459
PF00108	7059	6413	0	48	5.207536	4.720566	7.167129	1.986726	0.147508	0.000100	0.107525	0.000100	0.083114	0.000100	0.141755	0.000100	0.083502	0.000100	0.161807
PF00109	7059	7009	0	103	5.040516	6.982487	20.286032	3.654961	0.274339	0.000100	0.162145	0.000100	0.195223	0.000100	0.175675	0.000100	0.194145	0.000100	-0.533765
PF00110	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00111	7059	5966	0	52	5.868253	5.667906	5.332945	1.765265	0.150270	0.000100	0.113419	0.000100	0.104522	0.000100	0.148112	0.000100	0.099883	0.000100	0.193075
PF00112	7059	925	0	6	0.163479	0.474203	20.430813	3.837618	0.503810	0.000100	0.514636	0.000100	0.516875	0.000100	0.518786	0.000100	0.520065	0.000100	-9.659956
PF00113	7059	6946	0	4	1.070690	0.331926	11.211289	2.353593	0.503570	0.000100	0.481323	0.000100	0.462455	0.000100	0.467785	0.000100	0.480932	0.000100	-0.013638
PF00115	7059	6343	0	14	2.430798	1.700768	1.338366	0.951550	0.179234	0.000100	0.179038	0.000100	0.179356	0.000100	0.228982	0.000100	0.145407	0.000100	0.318560
PF00116	7059	5602	0	7	1.284318	1.082670	2.815122	1.357730	0.296724	0.000100	0.268383	0.000100	0.310825	0.000100	0.370892	0.000100	0.265767	0.000100	0.028776
PF00117	7059	7055	0	13	6.311376	1.411486	1.520460	-0.094218	0.186330	0.000100	0.231926	0.000100	0.213364	0.000100	0.224292	0.000100	0.178715	0.000100	1.192183
PF00118	7059	7026	0	6	1.353025	0.628486	3.615618	1.768139	0.422561	0.000100	0.426456	0.000100	0.418668	0.000100	0.404597	0.000100	0.413849	0.000100	-1.147568
PF00119	7059	6817	0	3	1.054399	0.358870	7.200516	1.288881	0.475948	0.000100	0.441904	0.000100	0.462113	0.000100	0.488672	0.000100	0.460131	0.000100	0.502065
PF00120	7059	7027	0	13	2.581385	2.011653	2.112143	1.533585	0.247506	0.000100	0.240810	0.000100	0.227383	0.000100	0.230194	0.000100	0.255746	0.000100	-0.706846
PF00121	7059	7026	0	5	1.100014	0.345655	16.032896	3.299530	0.517362	0.000100	0.511598	0.000100	0.502036	0.000100	0.483160	0.000100	0.495682	0.000100	-0.943996
PF00122	7059	6994	0	24	5.225103	2.757039	2.138187	0.975070	0.125909	0.000100	0.102872	0.000100	0.092783	0.000100	0.117077	0.000100	0.085926	0.000100	0.368939
PF00123	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00124	7059	446	0	9	0.159654	0.710661	45.626302	6.054234	0.525689	0.000100	0.536108	0.000100	0.536404	0.000100	0.538103	0.000100	0.539263	0.000100	-13.123561
PF00125	7059	4	0	3	0.001133	0.053216	2889.334443	52.575390	0.507928	0.000100	0.508444	0.000100	0.508607	0.000100	0.508779	0.000100	0.508931	0.000100	-81.777351
PF00126	7059	6936	0	270	26.982150	35.401759	7.533700	2.511127	0.222995	0.000100	0.051576	0.000100	0.128105	0.000100	0.097092	0.000100	0.048129	0.000100	-0.015504
PF00127	7059	2252	0	11	0.533220	0.992318	10.474503	2.715544	0.385448	0.000100	0.416751	0.000100	0.422233	0.000100	0.429080	0.000100	0.433280	0.000100	-2.508801
PF00128	7059	6267	0	31	5.905369	4.407858	0.577112	0.766221	0.091871	0.000100	0.144940	0.000100	0.110940	0.000100	0.150384	0.000100	0.094315	0.000100	0.441528
PF00129	7059	3	0	1	0.000425	0.020611	2348.000425	48.476803	0.507800	0.000100	0.507800	0.000100	0.507800	0.000100	0.507800	0.000100	0.507800	0.000100	-110.420068
PF00130	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00131	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00132	7059	7055	0	21	7.329650	2.847742	-0.089521	0.409276	0.103422	0.000100	0.100744	0.000100	0.076537	0.000100	0.085229	0.000100	0.081608	0.000100	0.525373
PF00133	7059	7046	0	7	2.975634	0.599122	3.984465	0.131298	0.367756	0.000100	0.396603	0.000100	0.388240	0.000100	0.393633	0.000100	0.365849	0.000100	1.062776
PF00134	7059	2	0	3	0.000567	0.037634	5783.524221	74.372706	0.505723	0.000100	0.506087	0.000100	0.506203	0.000100	0.506324	0.000100	0.506432	0.000100	-81.777351
PF00135	7059	2705	0	13	0.851679	1.539567	7.698068	2.567551	0.326722	0.000100	0.372820	0.000100	0.379231	0.000100	0.391598	0.000100	0.397489	0.000100	-1.593211
PF00136	7059	1232	0	4	0.176796	0.388487	2.736389	1.889299	0.500936	0.000100	0.502146	0.000100	0.502379	0.000100	0.502537	0.000100	0.502635	0.000100	-8.033578
PF00137	7059	7002	0	6	1.178637	0.463689	8.315814	2.403361	0.485919	0.000100	0.479041	0.000100	0.466501	0.000100	0.441823	0.000100	0.462382	0.000100	-0.798788
PF00139	7059	81	0	14	0.015158	0.212040	2702.985949	43.457443	0.517018	0.000100	0.529053	0.000100	0.529489	0.000100	0.530786	0.000100	0.531421	0.000100	-59.623134
PF00140	7059	7006	0	13	2.109506	1.181284	3.964689	1.405606	0.225268	0.000100	0.217950	0.000100	0.204787	0.000100	0.195467	0.000100	0.221251	0.000100	-0.261019
PF00141	7059	3873	0	4	0.628276	0.632791	-0.081828	0.595268	0.290934	0.000100	0.313460	0.000100	0.330072	0.000100	0.344649	0.000100	0.319621	0.000100	-0.198704
PF00143	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00144	7059	6047	0	76	5.608443	6.401694	6.639823	2.116245	0.205941	0.000100	0.092020	0.000100	0.099683	0.000100	0.137766	0.000100	0.093539	0.000100	-0.018643
PF00145	7059	3720	0	16	0.944043	1.274534	10.918324	2.426775	0.247189	0.000100	0.298052	0.000100	0.306355	0.000100	0.318418	0.000100	0.314999	0.000100	-0.742523
PF00146	7059	4970	0	7	1.022099	0.905239	1.782655	1.029030	0.270894	0.000100	0.281148	0.000100	0.320983	0.000100	0.367027	0.000100	0.275990	0.000100	0.061559
PF00147	7059	33	0	7	0.009208	0.174278	840.680103	26.791385	0.516392	0.000100	0.520322	0.000100	0.520931	0.000100	0.521910	0.000100	0.522643	0.000100	-67.931438
PF00148	7059	925	0	39	0.722482	2.446114	66.278699	6.475047	0.485094	0.000100	0.514774	0.000100	0.512473	0.000100	0.516923	0.000100	0.520062	0.000100	-4.319699
PF00149	7059	7048	0	44	8.035982	4.687951	8.892414	2.135695	0.136154	0.000100	0.097638	0.000100	0.088252	0.000100	0.082783	0.000100	0.087376	0.000100	0.115761
PF00150	7059	2693	0	22	1.100864	2.203687	14.915339	3.357908	0.309795	0.000100	0.370303	0.000100	0.373619	0.000100	0.389456	0.000100	0.397549	0.000100	-1.454412
PF00151	7059	14	0	3	0.002975	0.074270	1011.838185	29.963957	0.513991	0.000100	0.515046	0.000100	0.515337	0.000100	0.515596	0.000100	0.515794	0.000100	-81.777351
PF00152	7059	7048	0	8	2.688058	0.952112	-0.190021	0.078574	0.200999	0.000100	0.236672	0.000100	0.226249	0.000100	0.231197	0.000100	0.207446	0.000100	0.844365
PF00153	7059	27	0	2	0.005950	0.100818	338.253542	18.070598	0.519704	0.000100	0.520303	0.000100	0.520538	0.000100	0.520722	0.000100	0.520878	0.000100	-90.526417
PF00154	7059	6657	0	7	1.010766	0.396396	21.786655	2.179255	0.456151	0.000100	0.470274	0.000100	0.488481	0.000100	0.508248	0.000100	0.450854	0.000100	0.509717
PF00155	7059	7059	1	50	12.975351	6.634101	1.728480	1.255734	0.153809	0.000100	0.083242	0.000100	0.118881	0.000100	0.104859	0.000100	0.075722	0.000100	-0.142718
PF00156	7059	7058	0	13	6.139822	1.587108	-0.138526	0.069992	0.136033	0.000100	0.161130	0.000100	0.142132	0.000100	0.151490	0.000100	0.130595	0.000100	0.880668
PF00157	7059	6	0	1	0.000850	0.029142	1171.500851	34.256399	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	0.510783	0.000100	-110.420068
PF00158	7059	5774	0	88	6.930868	8.894068	10.499331	2.707146	0.217927	0.000100	0.112887	0.000100	0.094505	0.000100	0.133246	0.000100	0.114309	0.000100	-0.016594
PF00159	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00160	7059	6771	0	8	2.156254	1.150439	0.874673	0.746601	0.258647	0.000100	0.241146	0.000100	0.236231	0.000100	0.264709	0.000100	0.216053	0.000100	0.402398
PF00161	7059	93	0	3	0.019125	0.178303	121.773903	10.548096	0.529531	0.000100	0.531385	0.000100	0.531972	0.000100	0.532444	0.000100	0.532815	0.000100	-81.777351
PF00162	7059	6955	0	6	1.018558	0.237022	60.470538	4.030800	0.500744	0.000100	0.479600	0.000100	0.488770	0.000100	0.504589	0.000100	0.487641	0.000100	0.347998
