Environment	Classification
Hypersaline mats; Fresh water; Aquatic	n
Mud; Sediment; Sewage plant; Soil	n
Mud; Hypersaline mats; Mat	n
Aquatic; Fresh water; Lake; Salinewater; Sediment	n
Marine; Soil	n
Host; Aquatic; Ponds	s
Dairy isolates; Milk	n
Brackish water; Aquatic; Marine	n
Permafrost sediment; Soil	n
Host; Fresh water; Aquatic	s
Hot spring; Aquatic; Biofilm	n
Human abscess; Host	s
Sand; Marine	n
Soil; Ponds; Aquatic	n
Fresh water; Iron seep; Aquatic; Soil	n
Brackish water; Sediment	n
Deep sea; Hydrothermal vent; Sulfur spring	n
Hydrothermal vent	n
Fresh water; Hot spring	n
Marine; Mat	n
Soil; Fresh water	n
Host; Root nodule; Plant root; Soil	s
Host; Soil	s
Plant root; Host; Root nodule; Soil	s
Host; Plant surface; Plants	s
Poultry meat product; Host	s
Compost	n
Lab culture	n
Mine	n
Plants; Rice paddies	s
Fresh water; Aquatic; Sediment	n
Sediment; Aquatic; Marine	n
Milk	n
Aquatic; Fresh water; Lake; Salinewater	n
Desert Soil; Soil	n
Host; Urogenital tract	s
Host; Plant root; Root nodule; Soil; Aquatic	s
Meat food product; Food	n
Birds intestinal microflora	s
Marine; Host; Aquatic	s
Gingival crevices; Oral microflora; Host	s
Fresh water; Lake; Aquatic	n
Host; Bovine	s
Feces	s
Human fecal; Host	s
Mud; Soil	n
Intestinal microflora; Host	s
Host; Human fecal; Feces; Gastrointestinal tract	s
Mud; Ponds; Aquatic	n
Lake; Fresh water; Aquatic; Sediment	n
Host; Marine; Fish	s
Sea water; Surface water; Aquatic	n
Host; Marine; Marine	s
Surface water; Marine; Sea water; Aquatic	n
Urinary tract; Host	s
Host; Ponds; Aquatic	s
Surface water; Aquatic	n
Arctic; Sediment; Marine	n
Sea water; Marine; Host	s
Host; Rhizosphere; Sediment	s
Sediment; Soda lakes; Fresh water; Aquatic	n
Soil; Rice roots; Rice paddies; Host	s
Aquatic; Surface water	n
Sand; Sediment; Marine; Aquatic	n
Groundwater contaminated with organochlorines	n
Host; Bovine; Pig	s
Plant root; Root nodule; Host; Soil	s
Host; Plant root; Soil	s
Aquatic; Hot spring; Hydrothermal vent	n
Plant root; Plants	s
Host; Plant root; Plants	s
Endosymbiont; Host	s
Host; Endosymbiont	s
Aquatic; Fresh water; Sediment	n
Estuarine sediment; Sediment	n
Aquatic; Salinewater; Fresh water	n
Fresh water; Animal intestinal microflora; Mud; Sea water;	s
Hydrothermal sediment	n
Aquatic; Host; Marine; Plant root; Root nodule; Soil	s
Olive oil wastewater; Aquatic	n
marine sediment	n
Human oral microflora; Host	s
Solar saltern	n
Antarctic; Sea water; Surface water; Aquatic; Marine	n
Salinewater; Fresh water; Aquatic; Sediment	n
Host; Human; Urogenital tract	s
Aquatic; Fresh water; Hot spring	n
Permafrost	n
Rhizosphere	s
Fresh water; Wastewater	n
shallow-sea hydrothermal vent systems	n
Forest soil	n
Aquatic; Soil	n
Hot spring; Aquatic; Marine	n
Soil; Fresh water; Aquatic	n
Feces; Gastrointestinal tract	s
Sludge; Host	s
brackish estuary	n
hydrothermal sediments	n
marine sediments	n
Mangrove forest	n
tidal pool	n
Aquifer sediment contaminated with organochlorines	n
Aquatic; Hot spring; Sediment	n
Aquatic; Brackish water; Fresh water	n
Brackish water; Fresh water; Aquatic	n
Brackish water; Aquatic; Fresh water	n
Fresh water; Aquatic; Brackish water	n
Sea water	n
Aquatic; Fresh water; Brackish water	n
Aquatic; Mine; Mine water; Acid mine drainage	n
acid mine drainage	n
human gut	s
Atta colombica fungus garden	n
Fruits; Plants	s
Gastrointestinal tract; Host; Feces	s
Atta cephalotes fungus garden	n
small lake biome [ENVO:00000892]; anaerobic sediment	n
