name,NcbiTaxonomyID,habitat,hostid,hostname
Thermoplasma volcanium GSS1,273116,Specialized,0,NA
Caulobacter crescentus CB15,190650,Aquatic,0,NA
Streptococcus pyogenes M1 GAS,160490,HostAssociated,9606,Homo sapiens
Staphylococcus aureus subsp. aureus N315,158879,HostAssociated,9606,Homo sapiens
Sulfolobus solfataricus P2,273057,Specialized,0,NA
Mycobacterium tuberculosis CDC1551,83331,HostAssociated,9606,Homo sapiens
Staphylococcus aureus subsp. aureus Mu50,158878,HostAssociated,9606,Homo sapiens
Mycoplasma pulmonis UAB CTIP,272635,HostAssociated,0,NA
Bordetella bronchiseptica RB50,257310,HostAssociated,0,NA
Bordetella parapertussis 12822,257311,HostAssociated,0,NA
Bordetella pertussis Tohama I,257313,HostAssociated,0,NA
Chlorobium tepidum TLS,194439,Specialized,0,NA
Corynebacterium diphtheriae NCTC 13129,257309,Multiple,0,NA
Dehalococcoides ethenogenes 195,243164,Multiple,0,NA
Desulfovibrio vulgaris str. Hildenborough,882,Multiple,0,NA
Geobacter sulfurreducens PCA,243231,Multiple,0,NA
Haemophilus ducreyi 35000HP,233412,HostAssociated,0,NA
Legionella pneumophila subsp. pneumophila str. Philadelphia 1,272624,HostAssociated,9606,Homo sapiens
Mycobacterium avium subsp. paratuberculosis K-10,262316,Multiple,9913,Bovine
Mycobacterium bovis AF2122/97,233413,HostAssociated,9606,Cow Homo sapiens
Neisseria gonorrhoeae FA 1090,242231,HostAssociated,9606,Homo sapiens
Pseudomonas putida KT2440,160488,Multiple,0,NA
Porphyromonas gingivalis W83,242619,HostAssociated,9606,Homo sapiens
Staphylococcus aureus subsp. aureus COL,93062,HostAssociated,9606,Homo sapiens
Staphylococcus aureus subsp. aureus MRSA252,282458,HostAssociated,9606,Homo sapiens
Staphylococcus aureus subsp. aureus MSSA476,282459,HostAssociated,9606,Homo sapiens
Treponema denticola ATCC 35405,243275,HostAssociated,9606,Homo sapiens
Coxiella burnetii RSA 493,227377,Multiple,9606,Homo sapiens
Listeria monocytogenes serotype 4b str. F2365,265669,Multiple,9606,Homo sapiens
Staphylococcus epidermidis RP62A,176279,HostAssociated,9606,Homo sapiens
Methylococcus capsulatus str. Bath,243233,Multiple,0,NA
Wolbachia endosymbiont of Drosophila melanogaster,163164,HostAssociated,0,NA
Streptococcus pneumoniae TIGR4,170187,Multiple,9606,Homo sapiens
Sinorhizobium meliloti 1021,266834,Multiple,0,NA
Clostridium perfringens str. 13,195102,Multiple,9606,Homo sapiens
Agrobacterium tumefaciens str. C58,176299,Multiple,0,NA
Corynebacterium jeikeium K411,306537,Multiple,9606,Homo sapiens
Streptococcus pneumoniae R6,171101,Multiple,9606,Homo sapiens
Rickettsia conorii str. Malish 7,272944,HostAssociated,9606,Homo sapiens
Sulfolobus tokodaii str. 7,273063,Specialized,0,NA
Neisseria meningitidis MC58,122586,HostAssociated,9606,Homo sapiens
Neisseria meningitidis Z2491,122587,HostAssociated,9606,Homo sapiens
Yersinia pestis CO92,214092,Multiple,9606,Homo sapiens
Streptomyces avermitilis MA-4680,227882,Multiple,0,NA
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,HostAssociated,9606,Homo sapiens
Salmonella enterica subsp. enterica serovar Typhi str. CT18,220341,HostAssociated,9606,Homo sapiens
Listeria monocytogenes EGD-e,169963,Multiple,0,NA
Listeria innocua Clip11262,272626,Multiple,0,NA
Bacteroides fragilis NCTC 9343,272559,HostAssociated,9606,Homo sapiens
Nostoc sp. PCC 7120,103690,Multiple,0,NA
Ralstonia solanacearum GMI1000,267608,Multiple,0,NA
Brucella melitensis bv. 1 str. 16M,224914,HostAssociated,9606,Homo sapiens
Chlamydophila caviae GPIC,227941,HostAssociated,0,NA
Pyrobaculum aerophilum str. IM2,178306,Aquatic,0,NA
Pyrococcus furiosus DSM 3638,186497,Aquatic,0,NA
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,36870,HostAssociated,0,NA
Corynebacterium glutamicum ATCC 13032,196627,Multiple,0,NA
Fusobacterium nucleatum subsp. nucleatum ATCC 25586,190304,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes MGAS8232,186103,HostAssociated,9606,Homo sapiens
Methanopyrus kandleri AV19,190192,Specialized,0,NA
Methanosarcina acetivorans C2A,188937,Aquatic,0,NA
Thermoanaerobacter tengcongensis MB4,273068,Specialized,0,NA
Streptomyces coelicolor A3(2),100226,Multiple,0,NA
Methanosarcina mazei Go1,192952,Multiple,0,NA
Xanthomonas campestris pv. campestris str. ATCC 33913,190485,HostAssociated,0,NA
Bacillus cereus ATCC 10987,222523,Terrestrial,9606,Homo sapiens
Colwellia psychrerythraea 34H,167879,Specialized,0,NA
Ruegeria pomeroyi DSS-3,246200,Aquatic,0,NA
Campylobacter jejuni RM1221,195099,Multiple,0,NA
Xanthomonas axonopodis pv. citri str. 306,190486,HostAssociated,0,NA
Staphylococcus aureus subsp. aureus MW2,196620,HostAssociated,9606,Homo sapiens
Bacillus anthracis str. Ames,198094,Multiple,9606,Homo sapiens
Rhizobium etli CFN 42,347834,HostAssociated,3885,Phaseolus vulgaris
Buchnera aphidicola str. Sg (Schizaphis graminum),198804,HostAssociated,34664,Acyrthosiphon kondoi
Streptococcus pyogenes MGAS315,198466,HostAssociated,9606,Homo sapiens
Yersinia pestis KIM 10,187410,Multiple,9606,Homo sapiens
Thermosynechococcus elongatus BP-1,197221,Specialized,0,NA
Streptococcus agalactiae 2603V/R,208435,HostAssociated,9606,Homo sapiens
Pseudomonas fluorescens Pf-5,220664,Multiple,0,NA
Oceanobacillus iheyensis HTE831,221109,Multiple,0,NA
Bifidobacterium longum DJO10A,205913,HostAssociated,9606,Homo sapiens
Bifidobacterium longum NCC2705,206672,HostAssociated,9606,Homo sapiens
Brucella suis 1330,204722,HostAssociated,9823,Homo sapiens Swine
Corynebacterium efficiens YS-314,196164,Multiple,0,NA
Shigella flexneri 2a str. 301,198214,HostAssociated,9606,Homo sapiens
Leptospira interrogans serovar Lai str. 56601,189518,HostAssociated,0,NA
Shewanella oneidensis MR-1,211586,Multiple,0,NA
Streptococcus mutans UA159,210007,HostAssociated,9606,Homo sapiens
Streptococcus agalactiae NEM316,211110,HostAssociated,9606,Homo sapiens
Escherichia coli CFT073,199310,HostAssociated,9606,Homo sapiens
Mycoplasma penetrans HF-2,272633,HostAssociated,9606,Homo sapiens
Vibrio vulnificus CMCP6,216895,Aquatic,9606,Homo sapiens
Staphylococcus epidermidis ATCC 12228,176280,HostAssociated,9606,Homo sapiens
Bradyrhizobium japonicum USDA 110,224911,HostAssociated,3847,Soybean
Buchnera aphidicola str. Bp (Baizongia pistaciae),224915,HostAssociated,34664,Acyrthosiphon kondoi
Pectobacterium atrosepticum SCRI1043,218491,Multiple,0,NA
Tropheryma whipplei TW08/27,218496,HostAssociated,0,NA
Chlamydophila abortus S26/3,218497,HostAssociated,9940,Homo sapiens Sheep
Xylella fastidiosa Temecula1,183190,HostAssociated,0,Grapevine
Clostridium tetani E88,0,Multiple,9606,Homo sapiens
Lactobacillus plantarum WCFS1,220668,HostAssociated,9606,Homo sapiens
Tropheryma whipplei str. Twist,203267,HostAssociated,0,NA
Pseudomonas syringae pv. tomato str. DC3000,223283,Multiple,0,NA
Vibrio parahaemolyticus RIMD 2210633,223926,Aquatic,9606,Homo sapiens
Bacillus megaterium QM B1551,545693,Soil,0,NA
Streptococcus pyogenes SSI-1,193567,HostAssociated,9606,Homo sapiens
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,209261,HostAssociated,9606,Homo sapiens
Bacteroides thetaiotaomicron VPI-5482,226186,HostAssociated,9606,Homo sapiens
Enterococcus faecalis V583,226185,Multiple,9606,Homo sapiens
Bacillus cereus ATCC 14579,226900,Terrestrial,9606,Homo sapiens
Shigella flexneri 2a str. 2457T,198215,HostAssociated,9606,Homo sapiens
Nitrosomonas europaea ATCC 19718,228410,Multiple,0,NA
Mycoplasma gallisepticum str. R(low),710127,HostAssociated,0,NA
Anaplasma marginale str. St. Maries,234826,HostAssociated,9606,Cow Homo sapiens
Helicobacter hepaticus ATCC 51449,235279,HostAssociated,0,NA
Aeromonas salmonicida subsp. salmonicida A449,382245,Aquatic,8032,Homo sapiens Salmo trutta
Rhodopirellula baltica SH 1,243090,Aquatic,0,NA
Prochlorococcus marinus subsp. marinus str. CCMP1375,167539,Aquatic,0,NA
Chlamydophila pneumoniae TW-183,182082,HostAssociated,9606,Homo sapiens
Candidatus Blochmannia floridanus,203907,Specialized,0,NA
Synechococcus sp. WH 8102,84588,Aquatic,0,NA
Prochlorococcus marinus str. MIT 9313,74547,Aquatic,0,NA
Prochlorococcus marinus subsp. pastoris str. CCMP1986,59919,Aquatic,0,NA
Chromobacterium violaceum ATCC 12472,243365,Multiple,0,NA
Wolinella succinogenes DSM 1740,273121,HostAssociated,9913,Cow
Gloeobacter violaceus PCC 7421,251221,Terrestrial,0,NA
Photorhabdus luminescens subsp. laumondii TTO1,243265,HostAssociated,37862,Heterorhabditis bacteriophora
Vibrio vulnificus YJ016,196600,Aquatic,9606,Homo sapiens
Nanoarchaeum equitans Kin4-M,228908,HostAssociated,0,NA
Ralstonia eutropha H16,381666,Specialized,0,NA
Ehrlichia ruminantium str. Welgevonden,254945,HostAssociated,0,NA
Rhodopseudomonas palustris CGA009,258594,Multiple,0,NA
Onion yellows phytoplasma OY-M,262768,HostAssociated,0,NA
Lactobacillus johnsonii NCC 533,257314,HostAssociated,9606,Homo sapiens
Bdellovibrio bacteriovorus HD100,264462,Multiple,0,NA
Mycoplasma mycoides subsp. mycoides SC str. PG1,272632,HostAssociated,0,NA
Pseudomonas syringae pv. phaseolicola 1448A,264730,Multiple,0,NA
Methanococcus maripaludis S2,267377,Aquatic,0,NA
Yersinia pestis biovar Microtus str. 91001,229193,Multiple,9606,Homo sapiens
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,267671,HostAssociated,0,NA
Thermus thermophilus HB27,262724,Specialized,0,NA
Candidatus Protochlamydia amoebophila UWE25,264201,HostAssociated,9606,Homo sapiens
Photobacterium profundum SS9,298386,Multiple,0,NA
Picrophilus torridus DSM 9790,263820,Specialized,0,NA
Mycobacterium ulcerans Agy99,362242,HostAssociated,9606,Homo sapiens
Bacillus anthracis str. Sterne,260799,Multiple,9606,Homo sapiens
Bartonella quintana str. Toulouse,283165,HostAssociated,9606,Homo sapiens
Bartonella henselae str. Houston-1,283166,HostAssociated,0,NA
Bacillus thuringiensis serovar konkukian str. 97-27,281309,Multiple,9606,Homo sapiens
Acinetobacter sp. ADP1,62977,Multiple,215343,Fistularia commersonii
Mesoplasma florum L1,265311,HostAssociated,0,NA
Propionibacterium acnes KPA171202,267747,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes MGAS10394,286636,HostAssociated,9606,Homo sapiens
Leifsonia xyli subsp. xyli str. CTCB07,281090,HostAssociated,0,NA
Borrelia garinii PBi,290434,HostAssociated,9606,Homo sapiens
Desulfotalea psychrophila LSv54,177439,Specialized,0,NA
Rickettsia typhi str. Wilmington,257363,HostAssociated,9606,Homo sapiens
Yersinia pseudotuberculosis IP 32953,273123,Multiple,0,NA
Symbiobacterium thermophilum IAM 14863,292459,Terrestrial,0,NA
Bacillus licheniformis ATCC 14580,279010,HostAssociated,9606,Homo sapiens
Bacillus cereus E33L,288681,Terrestrial,9606,Homo sapiens
Bacteroides fragilis YCH46,295405,HostAssociated,9606,Homo sapiens
Haemophilus somnus 129PT,205914,HostAssociated,0,NA
Mannheimia succiniciproducens MBEL55E,221988,HostAssociated,0,NA
Burkholderia mallei ATCC 23344,243160,HostAssociated,9606,Homo sapiens
Burkholderia pseudomallei K96243,272560,Terrestrial,9606,Homo sapiens
Mycoplasma hyopneumoniae 232,295358,HostAssociated,0,NA
Nocardia farcinica IFM 10152,247156,Multiple,9606,Homo sapiens
Legionella pneumophila str. Paris,297246,HostAssociated,9606,Homo sapiens
Legionella pneumophila str. Lens,297245,HostAssociated,9606,Homo sapiens
Haloarcula marismortui ATCC 43049,272569,Aquatic,0,NA
Streptococcus thermophilus LMG 18311,264199,Multiple,0,NA
Streptococcus thermophilus CNRZ1066,299768,Multiple,0,NA
Thermus thermophilus HB8,300852,Specialized,0,NA
Geobacillus kaustophilus HTA426,235909,Aquatic,0,NA
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC,295319,HostAssociated,9606,Homo sapiens
Idiomarina loihiensis L2TR,283942,Specialized,0,NA
Aromatoleum aromaticum EbN1,76114,Terrestrial,0,NA
Zymomonas mobilis subsp. mobilis ZM4,264203,NA,0,NA
Lactobacillus salivarius UCC118,362948,HostAssociated,9606,Homo sapiens
Francisella tularensis subsp. tularensis SCHU S4,177416,Aquatic,9606,Homo sapiens
Synechococcus elongatus PCC 6301,269084,Aquatic,0,NA
Bacillus clausii KSM-K16,66692,Soil,0,NA
Thermococcus kodakarensis KOD1,69014,Specialized,0,NA
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,484021,Multiple,9606,Homo sapiens
Gluconobacter oxydans 621H,290633,Multiple,0,NA
Lactobacillus acidophilus NCFM,272621,Multiple,9606,Homo sapiens
Ehrlichia ruminantium str. Gardel,302409,HostAssociated,0,NA
Wolbachia endosymbiont strain TRS of Brugia malayi,292805,HostAssociated,0,NA
Xanthomonas oryzae pv. oryzae KACC10331,291331,HostAssociated,0,NA
Vibrio fischeri ES114,312309,Multiple,0,NA
Salmonella enterica subsp. enterica serovar Choleraesuis str.,321314,HostAssociated,9606,Homo sapiens
Mycoplasma mobile 163K,267748,HostAssociated,0,NA
Brucella abortus bv. 1 str. 9-941,262698,HostAssociated,9606,Homo sapiens
Rhodococcus opacus B4,632772,NA,0,NA
Pseudomonas syringae pv. syringae B728a,205918,Multiple,0,NA
Xanthomonas campestris pv. campestris str. 8004,314565,HostAssociated,0,NA
Rickettsia felis URRWXCal2,315456,HostAssociated,0,NA
Haemophilus influenzae 86-028NP,281310,HostAssociated,9606,Homo sapiens
Staphylococcus haemolyticus JCSC1435,279808,HostAssociated,9606,Homo sapiens
Sulfolobus acidocaldarius DSM 639,330779,Specialized,0,NA
Psychrobacter arcticus 273-4,259536,Specialized,0,NA
Candidatus Pelagibacter ubique HTCC1062,335992,Aquatic,0,NA
Candidatus Blochmannia pennsylvanicus str. BPEN,291272,HostAssociated,0,NA
Mycoplasma synoviae 53,262723,HostAssociated,0,NA
Mycoplasma hyopneumoniae J,262719,HostAssociated,0,NA
Streptococcus pyogenes MGAS6180,319701,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes MGAS5005,293653,HostAssociated,9606,Homo sapiens
Dechloromonas aromatica RCB,159087,Multiple,0,NA
Bacillus anthracis str. 'Ames Ancestor',261594,Terrestrial,9606,Homo sapiens
Mycoplasma hyopneumoniae 7448,262722,HostAssociated,9823,Sus scrofa
Thermobifida fusca YX,269800,Multiple,9606,Homo sapiens
Prochlorococcus marinus str. NATL2A,59920,Aquatic,0,NA
Ralstonia eutropha JMP134,264198,Multiple,0,NA
Methanosarcina barkeri str. Fusaro,269797,Multiple,0,NA
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,342451,HostAssociated,9606,Homo sapiens
Ehrlichia canis str. Jake,269484,HostAssociated,9615,Dog
Dehalococcoides sp. CBDB1,255470,Multiple,0,NA
Shigella sonnei Ss046,300269,HostAssociated,9606,Homo sapiens
Thiobacillus denitrificans ATCC 25259,292415,Multiple,0,NA
Nitrobacter winogradskyi Nb-255,323098,Terrestrial,0,NA
Anabaena variabilis ATCC 29413,240292,Multiple,0,NA
Natronomonas pharaonis DSM 2160,348780,Aquatic,0,NA
Chlamydia trachomatis A/HAR-13,315277,HostAssociated,9606,Homo sapiens
Streptococcus agalactiae A909,205921,HostAssociated,9606,Homo sapiens
Burkholderia pseudomallei 1710b,320372,Terrestrial,9606,Homo sapiens
Pseudoalteromonas haloplanktis TAC125,166935,Aquatic,0,NA
Nitrosococcus oceani ATCC 19707,323261,Aquatic,0,NA
Rhodococcus erythropolis PR4,234621,Multiple,0,NA
Rhodobacter sphaeroides 2.4.1,272943,Multiple,0,NA
Pseudomonas fluorescens Pf0-1,205922,Multiple,0,NA
Pelobacter carbinolicus DSM 2380,338963,Aquatic,0,NA
Carboxydothermus hydrogenoformans Z-2901,246194,Aquatic,0,NA
Xanthomonas campestris pv. vesicatoria str. 85-10,316273,HostAssociated,0,NA
Burkholderia sp. 383,482957,Multiple,0,NA
Chlorobium luteolum DSM 273,319225,Multiple,0,NA
Synechococcus sp. CC9902,316279,Aquatic,0,NA
Chlorobium chlorochromatii CaD3,340177,Aquatic,0,NA
Geobacter metallireducens GS-15,269799,Aquatic,0,NA
Synechococcus sp. CC9605,110662,Aquatic,0,NA
Desulfovibrio alaskensis G20,207559,Multiple,0,NA
Thiomicrospira crunogena XCL-2,317025,Aquatic,0,NA
Sulfurimonas denitrificans DSM 1251,326298,Marine Mud,0,NA
Lactobacillus sakei subsp. sakei 23K,314315,Multiple,0,NA
Prochlorococcus marinus str. MIT 9312,74546,Aquatic,0,NA
Synechococcus elongatus PCC 7942,1140,Aquatic,0,NA
Shigella dysenteriae Sd197,300267,HostAssociated,9606,Homo sapiens
Shigella boydii Sb227,300268,HostAssociated,9606,Homo sapiens
Nitrosospira multiformis ATCC 25196,323848,Terrestrial,0,NA
Brucella melitensis biovar Abortus 2308,359391,HostAssociated,9606,Homo sapiens
Staphylococcus aureus RF122,273036,HostAssociated,0,Bos taurus (cow) Homo sapiens
Magnetospirillum magneticum AMB-1,342108,Aquatic,0,NA
Mycoplasma capricolum subsp. capricolum ATCC 27343,340047,HostAssociated,9925,Goat
Rhodospirillum rubrum ATCC 11170,269796,Multiple,0,NA
Moorella thermoacetica ATCC 39073,264732,Aquatic,0,NA
Hahella chejuensis KCTC 2396,349521,Aquatic,0,NA
Burkholderia thailandensis E264,271848,Terrestrial,0,NA
Salinibacter ruber DSM 13855,309807,Specialized,0,NA
Methanosphaera stadtmanae DSM 3091,339860,HostAssociated,9606,Homo sapiens
Xanthomonas oryzae pv. oryzae MAFF 311018,342109,HostAssociated,0,NA
Sodalis glossinidius str. 'morsitans',343509,HostAssociated,37546,Glossina morsitans morsitans
Aster yellows witches'-broom phytoplasma AYWB,322098,HostAssociated,0,NA
Erythrobacter litoralis HTCC2594,314225,Aquatic,0,NA
Syntrophus aciditrophicus SB,56780,Multiple,0,NA
Anaeromyxobacter dehalogenans 2CP-C,290397,Terrestrial,0,NA
Synechococcus sp. JA-3-3Ab,321327,Specialized,0,NA
Synechococcus sp. JA-2-3B'a(2-13),321332,Specialized,0,NA
Frankia sp. CcI3,106370,Multiple,0,NA
Rhodopseudomonas palustris HaA2,316058,Multiple,0,NA
Staphylococcus aureus subsp. aureus USA300_FPR3757,451515,HostAssociated,9606,Homo sapiens
Novosphingobium aromaticivorans DSM 12444,279238,Multiple,9606,Homo sapiens
Staphylococcus aureus subsp. aureus NCTC 8325,93061,HostAssociated,9606,Homo sapiens
Methanospirillum hungatei JF-1,323259,Multiple,0,NA
Anaplasma phagocytophilum HZ,212042,HostAssociated,9606,Homo sapiens
Neorickettsia sennetsu str. Miyayama,222891,Multiple,9606,Homo sapiens
Ehrlichia chaffeensis str. Arkansas,205920,HostAssociated,9606,Homo sapiens
Jannaschia sp. CCS1,290400,Aquatic,0,NA
Francisella tularensis subsp. holarctica LVS,376619,HostAssociated,9606,Homo sapiens
Chlamydophila felis Fe/C-56,264202,HostAssociated,9685,Cat
Rhodoferax ferrireducens T118,338969,Multiple,0,NA
Desulfitobacterium hafniense Y51,138119,Specialized,0,NA
Saccharophagus degradans 2-40,203122,Aquatic,0,NA
Rhodopseudomonas palustris BisB18,316056,Multiple,0,NA
Rickettsia bellii RML369-C,336407,HostAssociated,0,NA
Escherichia coli UTI89,364106,HostAssociated,9606,Homo sapiens
Methylobacillus flagellatus KT,265072,Specialized,0,NA
Polaromonas sp. JS666,296591,Multiple,0,NA
Burkholderia xenovorans LB400,266265,Multiple,9606,Homo sapiens
Shewanella denitrificans OS217,318161,Aquatic,0,NA
Methanococcoides burtonii DSM 6242,259564,Aquatic,0,NA
Rhodopseudomonas palustris BisB5,316057,Multiple,0,NA
Nitrobacter hamburgensis X14,323097,Terrestrial,0,NA
Chromohalobacter salexigens DSM 3043,290398,Fresh water Solar saltern,0,NA
Psychrobacter cryohalolentis K5,335284,Multiple,0,NA
Cupriavidus metallidurans CH34,266264,Specialized,0,NA
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),374463,HostAssociated,197043,Homalodisca coagulata
Candidatus Koribacter versatilis Ellin345,204669,Terrestrial,0,NA
Deinococcus geothermalis DSM 11300,319795,Aquatic,0,NA
Lawsonia intracellularis PHE/MN1-00,363253,HostAssociated,9823,Sus scrofa
Streptococcus pyogenes MGAS9429,370551,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes MGAS10270,370552,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes MGAS2096,370553,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes MGAS10750,370554,HostAssociated,9606,Homo sapiens
Pseudomonas entomophila L48,384676,Multiple,0,NA
Sphingopyxis alaskensis RB2256,317655,Aquatic,0,NA
Ruegeria sp. TM1040,292414,Multiple,71001,Pfiesteria piscicida
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,390333,Multiple,9606,Homo sapiens
Burkholderia cenocepacia AU 1054,331271,HostAssociated,9606,Homo sapiens
Helicobacter pylori HPAG1,357544,HostAssociated,9606,Homo sapiens
Myxococcus xanthus DK 1622,0,Terrestrial,0,NA
Yersinia pestis Nepal516,377628,Multiple,9606,Homo sapiens
Yersinia pestis Antiqua,360102,Multiple,9606,Homo sapiens
Mycobacterium sp. MCS,164756,Creosote-contaminated soil Soil,0,NA
Rubrobacter xylanophilus DSM 9941,266117,Specialized,0,NA
Roseobacter denitrificans OCh 114,375451,Multiple,3193,Plants
Haloquadratum walsbyi DSM 16790,362976,Aquatic,0,NA
Clostridium difficile 630,272563,Multiple,9606,Homo sapiens
Pseudoalteromonas atlantica T6c,342610,Aquatic,0,NA
Helicobacter acinonychis str. Sheeba,382638,HostAssociated,9689,Lion
Chelativorans sp. BNC1,266779,Multiple,0,NA
Francisella tularensis subsp. tularensis FSC198,393115,Aquatic,9606,Homo sapiens
Escherichia coli 536,362663,HostAssociated,9606,Homo sapiens
Cytophaga hutchinsonii ATCC 33406,269798,Multiple,0,NA
Shigella flexneri 5 str. 8401,373384,HostAssociated,9606,Homo sapiens
Alcanivorax borkumensis SK2,393595,Aquatic,0,NA
Clostridium perfringens ATCC 13124,195103,Multiple,9606,Homo sapiens
Rhodococcus jostii RHA1,101510,Terrestrial,0,NA
Borrelia afzelii PKo,390236,HostAssociated,9606,Homo sapiens
Frankia alni ACN14a,326424,HostAssociated,3518,Alnus viridis subsp. crispa
Trichodesmium erythraeum IMS101,203124,Aquatic,0,NA
Synechococcus sp. CC9311,64471,Aquatic,0,NA
Shewanella sp. MR-7,60481,Aquatic,0,NA
Shewanella sp. MR-4,60480,Multiple,0,NA
Alkalilimnicola ehrlichii MLHE-1,187272,Aquatic,0,NA
Nitrosomonas eutropha C91,335283,Multiple,0,NA
Granulibacter bethesdensis CGDNIH1,391165,Multiple,9606,Homo sapiens
Shewanella frigidimarina NCIMB 400,318167,Multiple,0,NA
Syntrophomonas wolfei subsp. wolfei str. Goettingen,335541,Multiple,0,NA
Maricaulis maris MCS10,394221,Aquatic,0,NA
Hyphomonas neptunium ATCC 15444,228405,Aquatic,0,NA
Francisella tularensis subsp. holarctica OSU18,393011,Multiple,9606,Homo sapiens
Rhizobium leguminosarum bv. viciae 3841,216596,HostAssociated,3888,Pisum sativum
Burkholderia ambifaria AMMD,339670,Multiple,9606,Homo sapiens
Rhodopseudomonas palustris BisA53,316055,Multiple,0,NA
Pseudomonas aeruginosa UCBPP-PA14,208963,Multiple,9606,Homo sapiens
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,203120,Multiple,0,NA
Lactobacillus brevis ATCC 367,387344,Multiple,0,NA
Streptococcus thermophilus LMD-9,322159,Multiple,0,NA
Lactobacillus casei ATCC 334,321967,Multiple,9606,Homo sapiens
Lactococcus lactis subsp. cremoris SK11,272622,Multiple,0,NA
Leptospira borgpetersenii serovar Hardjo-bovis L550,355276,HostAssociated,9606,Homo sapiens
Leptospira borgpetersenii serovar Hardjo-bovis JB197,355277,HostAssociated,9606,Homo sapiens
Candidatus Carsonella ruddii PV,387662,Specialized,0,NA
Buchnera aphidicola str. Cc (Cinara cedri),372461,HostAssociated,34664,Acyrthosiphon kondoi
